img_name,predicted_age
seed100456.png,31
seed100735.png,6
seed100813.png,40
seed101021.png,38
seed104668.png,4
seed104677.png,6
seed10657.png,48
seed106792.png,48
seed107020.png,27
seed107403.png,20
seed10764.png,32
seed10772.png,31
seed108333.png,43
seed109272.png,54
seed109679.png,31
seed109876.png,32
seed11364.png,20
seed115601.png,31
seed116042.png,46
seed117258.png,49
seed119320.png,25
seed119550.png,31
seed119748.png,20
seed119933.png,10
seed120502.png,27
seed121911.png,20
seed123338.png,6
seed123727.png,32
seed124615.png,35
seed124686.png,27
seed126525.png,63
seed128894.png,38
seed129371.png,27
seed132293.png,27
seed133340.png,25
seed135352.png,35
seed136490.png,4
seed13658.png,20
seed140266.png,4
seed141921.png,25
seed145166.png,11
seed145580.png,20
seed14613.png,6
seed146724.png,32
seed147958.png,2
seed15048.png,54
seed151547.png,32
seed151568.png,27
seed152265.png,35
seed152737.png,27
seed1531.png,17
seed154552.png,53
seed155048.png,40
seed156443.png,32
seed159171.png,31
seed159179.png,54
seed159559.png,15
seed159676.png,27
seed160505.png,32
seed161850.png,3
seed16214.png,20
seed164084.png,20
seed166485.png,31
seed167330.png,63
seed167464.png,32
seed170566.png,28
seed1726.png,20
seed172602.png,11
seed172737.png,31
seed174269.png,20
seed17495.png,43
seed176470.png,45
seed176806.png,30
seed176871.png,4
seed178383.png,63
seed182206.png,27
seed18327.png,22
seed184049.png,20
seed185979.png,63
seed186832.png,32
seed188396.png,40
seed188602.png,38
seed189348.png,10
seed189568.png,31
seed189841.png,25
seed190303.png,20
seed19077.png,31
seed192818.png,32
seed194366.png,6
seed195248.png,25
seed195261.png,28
seed196159.png,54
seed196327.png,49
seed197020.png,38
seed197529.png,27
seed198306.png,27
seed199498.png,20
seed199801.png,36
seed200371.png,35
seed200832.png,1
seed204339.png,27
seed205096.png,27
seed206110.png,20
seed206343.png,6
seed206587.png,54
seed206611.png,27
seed206747.png,45
seed207078.png,20
seed207354.png,38
seed208420.png,6
seed208607.png,27
seed208716.png,54
seed208903.png,4
seed211458.png,35
seed21242.png,28
seed212772.png,54
seed213224.png,31
seed21445.png,32
seed216618.png,20
seed219453.png,6
seed220011.png,27
seed220904.png,32
seed221720.png,6
seed222224.png,17
seed223186.png,31
seed224419.png,27
seed225815.png,4
seed226333.png,75
seed228187.png,31
seed229091.png,52
seed229537.png,32
seed22973.png,48
seed22994.png,40
seed23110.png,28
seed231266.png,32
seed232755.png,63
seed234790.png,25
seed23535.png,20
seed235689.png,27
seed236543.png,27
seed237379.png,4
seed238558.png,63
seed24114.png,32
seed241264.png,20
seed242733.png,49
seed243647.png,1
seed244136.png,52
seed245507.png,40
seed245646.png,20
seed246379.png,17
seed248038.png,32
seed248149.png,6
seed248256.png,25
seed248702.png,46
seed249246.png,27
seed250003.png,31
seed250898.png,27
seed2509.png,43
seed251564.png,54
seed252578.png,20
seed253333.png,49
seed253453.png,31
seed255578.png,40
seed255688.png,40
seed256236.png,17
seed256640.png,5
seed257223.png,10
seed257224.png,27
seed258041.png,54
seed2582.png,4
seed259026.png,35
seed259903.png,54
seed260535.png,38
seed260939.png,20
seed261308.png,20
seed262121.png,20
seed262304.png,10
seed262439.png,27
seed262858.png,40
seed262935.png,20
seed264118.png,31
seed264638.png,4
seed264914.png,38
seed267009.png,46
seed267283.png,31
seed268157.png,20
seed270261.png,27
seed27201.png,52
seed272970.png,20
seed276753.png,28
seed277060.png,36
seed280186.png,27
seed280203.png,20
seed281836.png,45
seed281964.png,1
seed282710.png,31
seed285073.png,25
seed288971.png,20
seed289974.png,32
seed290301.png,54
seed291170.png,27
